text;label
Screwdrivers are used for manually tightening or loosening screws, which are small metal or plastic fasteners commonly found in a variety of applications, such as furniture assembly, electronics repair, and construction.;Screwdrivers PIVOT,tightening TASK,loosening TASK,small SIZE,metal MATERIAL,plastic MATERIAL
The most common physical attributes of a sheet of paper are its thin and flat structure, made from plant fibers.;sheet PIVOT,paper MATERIAL,thin GEOMETRY,flat GEOMETRY
It is typically white or off-white in colour, and can vary in size and weight.;white COLOR
Paper is commonly used for writing, printing, drawing and packaging in various industries and everyday life.;Paper MATERIAL
A spatula typically has a flat, wide and thin blade made of metal or silicone with a long handle.;spatula PIVOT,flat GEOMETRY,wide GEOMETRY,thin GEOMETRY,blade COMPONENT,metal MATERIAL,long SIZE,handle COMPONENT
It is commonly used for flipping or turning food while cooking, serving food, and scraping bowls or pans to get all the leftover bits.;flipping TASK,turning TASK,cooking TASK
Sponges are aquatic animals that have a porous body with numerous pores and canals.;Sponges PIVOT,porous TEXTURE
They are soft, flexible, and typically have a cylindrical or flattened shape.;soft HARDNESS,flexible MATERIAL,cylindrical GEOMETRY,flattened GEOMETRY
Sponges are commonly used for cleaning and absorbing liquids due to their ability to hold a lot of water.;Sponges PIVOT,cleaning TASK
A spoon is a small, concave utensil made of metal, plastic, wood or ceramic, with a handle on the end opposite the bowl.;spoon PIVOT,small SIZE,concave GEOMETRY,utensil CONTEXT,metal MATERIAL,plastic MATERIAL,wood MATERIAL,ceramic MATERIAL,handle COMPONENT,bowl COMPONENT
It is used for scooping and transferring liquid or solid food from a container to a mouth or another container.;scooping TASK,transferring TASK
Spoons come in various sizes and shapes for different purposes, such as a teaspoon for stirring and a soup spoon for sipping.;Spoons PIVOT,stirring TASK,sipping TASK
A strawberry is a small, red, juicy fruit with a sweet and slightly tart taste.;strawberry PIVOT,small SIZE,red COLOR,fruit CONTEXT
A syringe typically consists of a cylindrical body with a plunger that moves back and forth inside, allowing the user to draw in or inject a liquid through a small, hollow needle attached to the end.;syringe PIVOT,cylindrical GEOMETRY,draw TASK,inject TASK,small SIZE,needle COMPONENT
Syringes are commonly used for administering medication or vaccines, drawing blood for testing, or injecting fluids or air into a body cavity.;Syringes PIVOT,drawing TASK,injecting TASK
A tennis ball is typically spherical with a diameter of approximately 6.7cm and is made of a rubbery core covered by a fuzzy, yellow felt.;tennis CONTEXT,ball PIVOT,spherical GEOMETRY,fuzzy TEXTURE,yellow COLOR,felt MATERIAL
A thermometer typically consists of a glass or plastic tube with a bulb at one end containing mercury or alcohol.;thermometer PIVOT,glass MATERIAL,plastic MATERIAL,tube CONTEXT
They are commonly used to measure the temperature of a person's body, food, water, and in scientific experiments.;measure TASK
A toothbrush is a handheld tool with a handle and bristles that are commonly made of nylon.;toothbrush PIVOT,tool CONTEXT,handle COMPONENT,bristles COMPONENT,nylon MATERIAL
The bristles are fixed in clusters to the head of the toothbrush.;bristles COMPONENT,head COMPONENT,toothbrush PIVOT
The bristles may be of different lengths, depending on the intended use.;bristles COMPONENT
The toothbrush is used for cleaning teeth, removing bacteria, and massaging gums.;toothbrush PIVOT,cleaning TASK
A tube is a cylindrical object with a hollow space inside.;tube PIVOT,cylindrical GEOMETRY
It can be made from materials such as metal, plastic, or glass.;metal MATERIAL,plastic MATERIAL,glass MATERIAL
The most common physical attributes of a tube are its length, outer diameter, and inner diameter.;tube PIVOT
Tweezers are typically made of metal and have two pointed ends to grasp and manipulate small objects.;Tweezers PIVOT,metal MATERIAL,grasp TASK,manipulate TASK
They come in various sizes and shapes, with straight or angled tips, and may have a textured or coated surface for better grip.;straight GEOMETRY,tips COMPONENT
A vase is typically a container made of glass, ceramic, or metal with a narrow neck and wide base.;vase PIVOT,container CONTEXT,glass MATERIAL,ceramic MATERIAL,metal MATERIAL,narrow GEOMETRY,neck COMPONENT,wide GEOMETRY,base COMPONENT
The most common physical attributes of a vase are its shape, size, and material, which determine its overall aesthetic appeal and level of practicality.;vase PIVOT
Vases can range in size from small bud vases to large floor-standing vessels, and can be decorated with patterns, colors, or textures to suit a variety of interior design styles.;Vases PIVOT,small SIZE,large SIZE
A wallet is a small, flat item typically made of leather or plastic that is used to hold money, credit cards, identification, and other small items.;wallet PIVOT,small SIZE,flat GEOMETRY,leather MATERIAL,plastic MATERIAL
Walnuts are oval-shaped nuts with a hard, brown shell and a wrinkled, light-colored nutmeat inside.;Walnuts PIVOT,oval GEOMETRY,nuts CONTEXT,hard HARDNESS,brown COLOR,shell COMPONENT
Walnuts are a good source of protein, fiber, and healthy fats, and are often used in cooking as a garnish or ingredient in dishes.;Walnuts PIVOT
The most common physical attributes of a wine bottle are its narrow neck and base, sloping shoulders, and a capacity of 750 milliliters.;wine CONTEXT,bottle PIVOT,narrow GEOMETRY,neck COMPONENT,base COMPONENT
It is typically made of glass, may have a cork or screw top closure, and bears a label indicating the wine's origin, vintage, and grape variety.;glass MATERIAL
Wine bottles are used to store and transport wine for sale and consumption.;Wine CONTEXT,bottles PIVOT
The most common physical attributes of a wine glass include a stem, a bowl, and a rim.;wine CONTEXT,glass PIVOT,stem COMPONENT,bowl COMPONENT,rim COMPONENT
The stem allows for the glass to be held without warming the wine with body heat, while the bowl provides ample room for swirling and properly aerating the wine.;stem COMPONENT,glass PIVOT,held TASK,bowl COMPONENT
The rim is typically narrow, to help concentrate the wine's aromas and flavors.;rim COMPONENT,narrow GEOMETRY
Wine glasses are used for serving various types of wine, such as reds, whites, and sparkling wines.;Wine CONTEXT,glasses PIVOT
The most common physical attributes of a chestnut include a hard, shiny exterior shell, a smooth, easily peelable inner skin, and a sweet, nutty flavor.;chestnut PIVOT,hard HARDNESS,shell COMPONENT,smooth TEXTURE,skin COMPONENT
Chestnuts are typically roasted or boiled and used in various dishes such as stuffing, soups, and desserts.;Chestnuts PIVOT
Additionally, chestnuts are a common ingredient in many Eastern European and Mediterranean cuisines.;chestnuts PIVOT
A whisk typically consists of a handle and wire loops, which are tightly spaced and curved to form a bulbous shape.;whisk PIVOT,handle COMPONENT,wire COMPONENT,curved GEOMETRY,bulbous GEOMETRY
It is usually made of metal or silicone material and is designed to mix ingredients thoroughly and incorporate air into batters and sauces.;metal MATERIAL,silicone MATERIAL,mix TASK
It is commonly used for beating eggs, whipping cream, and blending pancake and cake batter, among other culinary tasks.;beating TASK,whipping TASK,blending TASK
