Object;ChatGPTLWithTypes;GraspType;Grasp
Spoon;PIVOT spoon MATERIAL metal MATERIAL plastic PIVOT spoon GEOMETRY curved GEOMETRY straight COMPONENT handle SIZE small TASK held PIVOT spoon MATERIAL Metal PIVOT spoons MATERIAL plastic MATERIAL Metal PIVOT spoons MATERIAL plastic PIVOT spoon MATERIAL Metal TEXTURE smooth MATERIAL plastic TEXTURE rougher MATERIAL Metal TASK hold MATERIAL Plastic PIVOT spoon;Precision;3
Strawberry;PIVOT strawberries PIVOT strawberries PIVOT Strawberries GEOMETRY conical GEOMETRY heart-shaped PIVOT strawberry TEXTURE smooth HARDNESS soft PIVOT strawberry SIZE small COMPONENT seeds PIVOT strawberry COLOR red TEXTURE glossy PIVOT strawberry CONTEXT fruit;Precision;2
Syringe;PIVOT syringe PIVOT syringe CONTEXT instrument TASK administering TASK injecting PIVOT syringe PIVOT Syringes MATERIAL plastic MATERIAL glass MATERIAL metal MATERIAL Plastic WEIGHT lightweight MATERIAL glass MATERIAL Metal TASK push MATERIAL rubber MATERIAL plastic COMPONENT needle TASK inserting MATERIAL steel COMPONENT needle PIVOT syringe;Precision;3
Tennis ball;CONTEXT tennis PIVOT ball CONTEXT tennis PIVOT ball CONTEXT tennis PIVOT ball MATERIAL felt MATERIAL wool TEXTURE fuzzy CONTEXT tennis PIVOT ball CONTEXT Tennis PIVOT balls CONTEXT tennis PIVOT ball CONTEXT tennis PIVOT balls;Precision;2
Thermometer;PIVOT thermometer PIVOT thermometer TASK measure PIVOT thermometer PIVOT thermometers PIVOT thermometer SIZE small PIVOT thermometer TEXTURE rough PIVOT thermometer PIVOT thermometer;Precision;3
Toothbrush;PIVOT toothbrushes PIVOT toothbrush PIVOT toothbrush MATERIAL nylon COMPONENT Handle COMPONENT handle PIVOT toothbrush MATERIAL plastic MATERIAL rubber PIVOT Toothbrushes WEIGHT lightweight PIVOT toothbrush TASK cleaning;Precision;3
Tube;PIVOT tubes PIVOT tube GEOMETRY cylindrical GEOMETRY curved GEOMETRY circular COMPONENT ends SIZE small SIZE large CONTEXT tube MATERIAL metal MATERIAL plastic MATERIAL glass MATERIAL rubber CONTEXT tube MATERIAL rubber PIVOT tube PIVOT tubes PIVOT tube;Precision;3
Tweezers;PIVOT tweezers MATERIAL metal MATERIAL plastic COMPONENT tips TASK grasp PIVOT tweezers COMPONENT handle PIVOT tweezers;Precision;3
Vase;PIVOT vase PIVOT vase CONTEXT container TASK hold PIVOT vase MATERIAL ceramic MATERIAL glass MATERIAL porcelain MATERIAL metal MATERIAL wood MATERIAL plastic PIVOT vase GEOMETRY cylindrical GEOMETRY spherical SIZE small SIZE large PIVOT vase TEXTURE smooth TEXTURE glossy TEXTURE rough PIVOT vase;Power;1
Wallet;PIVOT wallet PIVOT wallet SIZE small GEOMETRY flat TASK hold SIZE small MATERIAL leather MATERIAL fabrics MATERIAL plastic PIVOT wallet PIVOT wallet WEIGHT heavy TASK carry;Power;0
Walnut;PIVOT walnuts PIVOT walnut PIVOT Walnuts GEOMETRY spherical HARDNESS hard HARDNESS tough COMPONENT shell SIZE small SIZE large COMPONENT shell PIVOT walnut COLOR brown COMPONENT shell HARDNESS hard TASK crack HARDNESS hard PIVOT Walnuts PIVOT Walnuts PIVOT walnuts HARDNESS hard PIVOT Walnuts;Precision;2
Whisk;PIVOT whisks PIVOT whisk MATERIAL steel COMPONENT wire COMPONENT handle MATERIAL wood MATERIAL plastic GEOMETRY curved TASK whisking PIVOT whisk PIVOT whisk SIZE small SIZE large GEOMETRY rounded PIVOT whisk PIVOT whisk PIVOT whisk COMPONENT wire COMPONENT handle;Precision;3
Wine bottle;CONTEXT wine PIVOT bottles MATERIAL glass HARDNESS rigid TEXTURE brittle MATERIAL Glass GEOMETRY tapered COMPONENT neck COMPONENT punt TASK pouring PIVOT bottle CONTEXT wine CONTEXT wine CONTEXT wine PIVOT bottle;Power;1
Wine glass;CONTEXT wine PIVOT glass CONTEXT wine PIVOT glass MATERIAL glass MATERIAL crystal MATERIAL plastic MATERIAL Glass MATERIAL crystal CONTEXT wine PIVOT glass COMPONENT stem COMPONENT bowl COMPONENT bowl CONTEXT Wine PIVOT glasses WEIGHT lightweight TASK holding PIVOT glass CONTEXT Wine PIVOT glasses;Power;1
